"SEX","AGE","P","E","N"
2,34,14.6666666666667,28.6666666666667,19.6666666666667
2,19,11.3333333333333,25.6666666666667,11.6666666666667
2,61,10.3333333333333,13,11
1,64,18.3333333333333,17.3333333333333,14.3333333333333
2,63,18,20,14
2,45,29,34.6666666666667,6
2,59,24.6666666666667,26,13.6666666666667
2,58,18,17.6666666666667,12.3333333333333
2,49,22.6666666666667,23.3333333333333,3.66666666666667
2,24,20.6666666666667,28.6666666666667,4.33333333333333
2,57,20.6666666666667,12,12.3333333333333
2,71,11.3333333333333,22.6666666666667,8
2,31,23.6666666666667,28.3333333333333,22
2,27,20,16.6666666666667,14.6666666666667
2,28,21.3333333333333,24.3333333333333,23.3333333333333
1,54,28.6666666666667,30.6666666666667,4
2,18,12.6666666666667,15.3333333333333,25.6666666666667
2,47,10,21,23
2,44,13,23.6666666666667,12.3333333333333
2,57,16,32.6666666666667,16.6666666666667
2,44,7,24,29.3333333333333
2,19,18.6666666666667,26.3333333333333,20.3333333333333
1,38,14,28.3333333333333,7.33333333333333
2,39,21,21,3.66666666666667
1,36,20.3333333333333,30.6666666666667,2
2,43,14.6666666666667,13.3333333333333,20.6666666666667
1,58,27.3333333333333,27.6666666666667,5.66666666666667
1,56,26.3333333333333,11.3333333333333,35
2,33,19,15.3333333333333,24
2,48,20.6666666666667,17.6666666666667,29.3333333333333
1,57,22,21.6666666666667,9
1,17,25,24,12.6666666666667
1,35,26.3333333333333,23,14.3333333333333
1,15,24.6666666666667,22.6666666666667,13
2,23,11.6666666666667,24.6666666666667,8.33333333333333
1,21,31.3333333333333,26.6666666666667,19.3333333333333
1,31,19.3333333333333,17,31.3333333333333
2,35,17,19,7.33333333333333
2,61,10.3333333333333,18.6666666666667,9.33333333333333
2,20,21.6666666666667,29,12.6666666666667
2,20,17.3333333333333,26,6.33333333333333
1,31,13,22.6666666666667,11.6666666666667
2,53,7.33333333333333,12.6666666666667,12
1,51,8.66666666666667,25,2.33333333333333
1,67,9.33333333333333,25.3333333333333,8
2,47,14,24,6.33333333333333
2,63,9.66666666666667,26.3333333333333,5
2,28,28,32.6666666666667,4
1,29,14,25,7
1,50,4,7,26.3333333333333
1,17,24.3333333333333,26.3333333333333,4.66666666666667
2,63,18,16,10.3333333333333
2,68,21,31.3333333333333,10.3333333333333
1,37,19.3333333333333,20,8
1,59,28,30,11.6666666666667
1,70,6.33333333333333,16,6.66666666666667
1,70,12.6666666666667,16.3333333333333,1
2,19,22.6666666666667,26.6666666666667,6.33333333333333
2,68,14.6666666666667,24,11.3333333333333
1,73,15,28.3333333333333,3.33333333333333
